SourcePath,RelativePath,Bytes,SHA256,AccessDate,Classification
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\81.75''+Fiberglass+Front+Entry+Doors-45346851-45346852.webp,Doors and Windows\81.75''+Fiberglass+Front+Entry+Doors-45346851-45346852.webp,9316,6FEF5E5B2B1D8EA2D2F3E1A8DCABEE4DFB883B627E9E47E8AC04F5BC3760B345,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\Alcove Window Reference.jpg,Doors and Windows\Alcove Window Reference.jpg,74742,B0D2C210129F54406399E58C6CBFE9099A0524769E11FCB138339E98CB78848F,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\Back Door Reference,Doors and Windows\Back Door Reference,9316,6FEF5E5B2B1D8EA2D2F3E1A8DCABEE4DFB883B627E9E47E8AC04F5BC3760B345,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\back_door_reference.png,Doors and Windows\back_door_reference.png,44502,3AAF86D9E36EF311793EFE4ED546E5C69E07FE840C9CA6F83655A6B442019592,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\french door reference 2.png,Doors and Windows\french door reference 2.png,34156,990790492F65F6DC705F2E822024D212856995E921157C5DEE33496FCC0C643E,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\french door reference 2.webp,Doors and Windows\french door reference 2.webp,8042,7A4A86C88D46436E00BA82DC65D73E77226CCCECC04AC7BDD3C3DA28BF00AE48,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\french door reference.png,Doors and Windows\french door reference.png,642509,F4468679F51FA8E7B4A723737B019174B32460904E1F90B4E28FE925EE89B5A9,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\french door reference.webp,Doors and Windows\french door reference.webp,105500,CF415088DAC3DD82EFA51CC94920C3F994FA8C0735362D98FFC8B13BAC58CB38,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\Doors and Windows\Front Facing Window Reference.png,Doors and Windows\Front Facing Window Reference.png,5826965,A0FCD48274B125552EB4FD01BB44D98A9807DE6E54E6EA13AE4B46C326529320,2026-09-04,Detail/product or unverified reference; not building evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\exterior_generated\Back View.png,exterior_generated\Back View.png,5021379,3DAA257A9A733DE729D6425CCC1EF2DB01CEE3579DA7B6488FF270AB3FAD3D10,2026-09-04,Generated exterior concept; not evidence
C:\Users\brian\Documents\Blender\Creepy Building Myrtle Beach Highway\inputs\reference\exterior_generated\Birdseye View.png,exterior_generated\Birdseye View.png,2438839,822C152BEA0DCCBFF68FA2E96D00CD8821CDD6D1CA1545204589C7A1D142F2F3,2026-09-04,Generated exterior concept; not evidence
